stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
821742,1085,,WEST BOYLSTON ST + AIRLIE ST,,42.3079,-71.79904,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1085&showAllBusses=on,0,,America/New_York,,,0
821743,1086,,WEST BOYLSTON ST + FAIRHAVEN RD,,42.3096,-71.79844,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1086&showAllBusses=on,0,,America/New_York,,,0
821744,1087,,WEST BOYLSTON ST + FALES ST,,42.31059,-71.79811,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1087&showAllBusses=on,0,,America/New_York,,,0
821745,1088,,WEST BOYLSTON ST + RANDALL ST,,42.31143,-71.79784,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1088&showAllBusses=on,0,,America/New_York,,,0
821746,1089,,WEST BOYLSTON ST + ASSUMPTION AVE,,42.31286,-71.79739,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1089&showAllBusses=on,0,,America/New_York,,,0
821747,1090,,WEST BOYLSTON ST + QUINSIGAMOND COMMUNITY COLLEGE,,42.31537,-71.79663,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1090&showAllBusses=on,0,,America/New_York,,,0
821748,1091,,WEST BOYLSTON ST + MARLAND RD,,42.31668,-71.79625,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1091&showAllBusses=on,0,,America/New_York,,,0
821749,1092,,WEST BOYLSTON ST + CLYDE RD,,42.31829,-71.79582,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1092&showAllBusses=on,0,,America/New_York,,,0
821750,1093,,WEST BOYLSTON ST + VOLKMAR RD,,42.32054,-71.79497,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1093&showAllBusses=on,0,,America/New_York,,,0
821751,1094,,WEST BOYLSTON ST + HASTINGS RD,,42.32223,-71.7943,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1094&showAllBusses=on,0,,America/New_York,,,0
821752,1095,,WEST BOYLSTON ST + VENDORA RD,,42.32326,-71.79383,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1095&showAllBusses=on,0,,America/New_York,,,0
821753,1096,,WEST BOYLSTON ST + MALDEN ST,,42.32459,-71.79315,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1096&showAllBusses=on,0,,America/New_York,,,0
821754,1097,,WEST BOYLSTON ST + REYNOLDS ST,,42.32534,-71.79279,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1097&showAllBusses=on,0,,America/New_York,,,0
821755,1098,,WEST BOYLSTON ST + STOP & SHOP,,42.32714,-71.79184,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1098&showAllBusses=on,0,,America/New_York,,,0
821756,1099,,WEST BOYLSTON ST + DIXFIELD RD,,42.32825,-71.79149,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1099&showAllBusses=on,0,,America/New_York,,,0
821757,1100,,WEST BOYLSTON ST + COTUIT ST,,42.32979,-71.79121,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1100&showAllBusses=on,0,,America/New_York,,,0
821758,1101,,WEST BOYLSTON ST + APTHROP ST,,42.33143,-71.79056,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1101&showAllBusses=on,0,,America/New_York,,,0
821759,1102,,WEST BOYLSTON ST + KENNEBEC ST,,42.33324,-71.7898,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1102&showAllBusses=on,0,,America/New_York,,,0
821760,1103,,WEST BOYLSTON ST + WILBUR ST,,42.33429,-71.78935,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1103&showAllBusses=on,0,,America/New_York,,,0
821761,1104,,WEST BOYLSTON ST + TYSON RD,,42.33512,-71.78901,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=1104&showAllBusses=on,0,,America/New_York,,,0
821762,5000,,WEST BOYLESTON ST + ENTERING WEST BOYLESTON,,42.33955,-71.7886,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=5000&showAllBusses=on,0,,America/New_York,,,0
821763,5005,,WEST BOYLSTON ST + CHAPMAN AVE,,42.34175,-71.78796,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=5005&showAllBusses=on,0,,America/New_York,,,0
821764,5010,,249 WEST BOYLSTON ST,,42.34508,-71.78693,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=5010&showAllBusses=on,0,,America/New_York,,,0
821765,5015,,WACHUSETT PLAZA,,42.35015,-71.78531,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=30&id=5015&showAllBusses=on,0,,America/New_York,,,0
821766,752,,MOUNTAIN ST EAST + QUINAPOXET LN,,42.3203500464537,-71.7845392715623,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=31&id=752&showAllBusses=on,0,,America/New_York,,,0
821767,1194,,MOUNTAIN ST EAST + BURNCOAT ST,,42.32345,-71.79204,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=31&id=1194&showAllBusses=on,0,,America/New_York,,,0
821768,1226,,MOUNTAIN ST EAST + QUINAPOXET LN,,42.32028,-71.78487,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=31&id=1226&showAllBusses=on,0,,America/New_York,,,0
821769,1227,,MOUNTAIN ST EAST + BRIAR LN,,42.31778,-71.77574,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=31&id=1227&showAllBusses=on,0,,America/New_York,,,0
821770,1272,,QUINSIGAMOND COMMUNITY COLLEGE,,42.3144110747407,-71.7953109914017,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=14&id=1272&showAllBusses=on,0,,America/New_York,,,0
821771,8510,,COMMON ST + BROOKFIELD COMMON,,42.2152,-72.10268,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=33&id=8510&showAllBusses=on,0,,America/New_York,,,0
821772,8520,,CENTRAL ST + SOUTH MAPLE,,42.21472,-72.09694,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=33&id=8520&showAllBusses=on,0,,America/New_York,,,0
821773,8701,,MAIN ST + ENTERING EAST BROOKFIELD,,42.2148,-72.07853,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=33&id=8701&showAllBusses=on,0,,America/New_York,,,0
821774,8725,,MAIN ST + ROUTE 67,,42.22505,-72.0573,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=33&id=8725&showAllBusses=on,0,,America/New_York,,,0
821775,8730,,MAIN ST + EAST BROOKFIELD CENTER,,42.2262,-72.05016,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=33&id=8730&showAllBusses=on,0,,America/New_York,,,0
